20240520-14:02:13 - 下載中藥處方資料,共<898>筆...,11912.625ms
20240520-14:13:51 - 下載中藥處方資料,共<0>筆...,5239.686ms
20240520-14:13:51 - 從資料庫讀取處方資料,共<3160>筆...,428.226ms
20240520-14:13:51 - 共新增<0>筆處方,5.289ms 
20240520-14:14:13 - 下載中藥處方資料,共<912>筆...,3432.991ms
20240520-14:14:13 - 從資料庫讀取處方資料,共<3160>筆...,364.098ms
20240520-14:14:15 - 共新增<912>筆處方,1948.073ms 
20240520-14:14:30 - 下載中藥處方資料,共<912>筆...,9218.633ms
20240520-14:14:30 - 從資料庫讀取處方資料,共<4072>筆...,174.074ms
20240520-14:14:30 - 共新增<0>筆處方,130.792ms 
20240520-14:14:35 - 下載中藥處方資料,共<912>筆...,29.218ms
20240520-14:14:35 - 從資料庫讀取處方資料,共<4072>筆...,168.603ms
20240520-14:14:35 - 共新增<0>筆處方,130.078ms 
20240520-14:14:40 - 下載中藥處方資料,共<912>筆...,31.655ms
20240520-14:14:40 - 從資料庫讀取處方資料,共<4072>筆...,173.028ms
20240520-14:14:41 - 共新增<0>筆處方,129.392ms 
20240520-14:14:46 - 下載中藥處方資料,共<912>筆...,39.538ms
20240520-14:14:46 - 從資料庫讀取處方資料,共<4072>筆...,168.648ms
20240520-14:14:46 - 共新增<0>筆處方,127.886ms 
20240520-14:14:51 - 下載中藥處方資料,共<912>筆...,36.068ms
20240520-14:14:51 - 從資料庫讀取處方資料,共<4072>筆...,167.759ms
20240520-14:14:51 - 共新增<0>筆處方,135.481ms 
20240520-14:14:56 - 下載中藥處方資料,共<912>筆...,18.282ms
20240520-14:14:56 - 從資料庫讀取處方資料,共<4072>筆...,167.424ms
20240520-14:14:57 - 共新增<0>筆處方,131.161ms 
20240520-14:15:02 - 下載中藥處方資料,共<912>筆...,34.137ms
20240520-14:15:02 - 從資料庫讀取處方資料,共<4072>筆...,167.874ms
20240520-14:15:02 - 共新增<0>筆處方,131.570ms 
20240520-14:15:07 - 下載中藥處方資料,共<912>筆...,37.842ms
20240520-14:15:07 - 從資料庫讀取處方資料,共<4072>筆...,165.386ms
20240520-14:15:07 - 共新增<0>筆處方,133.069ms 
20240520-14:15:12 - 下載中藥處方資料,共<912>筆...,17.822ms
20240520-14:15:12 - 從資料庫讀取處方資料,共<4072>筆...,165.227ms
20240520-14:15:13 - 共新增<0>筆處方,130.186ms 
20240520-14:15:18 - 下載中藥處方資料,共<912>筆...,19.555ms
20240520-14:15:18 - 從資料庫讀取處方資料,共<4072>筆...,169.298ms
20240520-14:15:18 - 共新增<0>筆處方,129.707ms 
20240520-14:15:23 - 下載中藥處方資料,共<912>筆...,32.841ms
20240520-14:15:23 - 從資料庫讀取處方資料,共<4072>筆...,164.841ms
20240520-14:15:23 - 共新增<0>筆處方,129.442ms 
20240520-14:15:28 - 下載中藥處方資料,共<912>筆...,33.859ms
20240520-14:15:28 - 從資料庫讀取處方資料,共<4072>筆...,168.711ms
20240520-14:15:29 - 共新增<0>筆處方,135.327ms 
20240520-14:15:34 - 下載中藥處方資料,共<912>筆...,33.411ms
20240520-14:15:34 - 從資料庫讀取處方資料,共<4072>筆...,167.207ms
20240520-14:15:34 - 共新增<0>筆處方,133.789ms 
20240520-14:15:39 - 下載中藥處方資料,共<912>筆...,25.486ms
20240520-14:15:39 - 從資料庫讀取處方資料,共<4072>筆...,168.623ms
20240520-14:15:39 - 共新增<0>筆處方,132.178ms 
20240520-14:15:44 - 下載中藥處方資料,共<912>筆...,18.787ms
20240520-14:15:44 - 從資料庫讀取處方資料,共<4072>筆...,176.294ms
20240520-14:15:45 - 共新增<0>筆處方,131.289ms 
20240520-14:15:50 - 下載中藥處方資料,共<912>筆...,14.222ms
20240520-14:15:50 - 從資料庫讀取處方資料,共<4072>筆...,168.676ms
20240520-14:15:50 - 共新增<0>筆處方,132.929ms 
