20240701-11:51:27 - 下載中藥處方資料,共<68>筆...,198.983ms
20240701-11:51:28 - 從資料庫讀取處方資料,共<63>筆...,948.355ms
20240701-11:51:28 - 共新增<0>筆處方,8.860ms 
20240701-11:51:47 - 下載中藥處方資料,共<68>筆...,73.964ms
20240701-11:51:47 - 從資料庫讀取處方資料,共<63>筆...,541.343ms
20240701-11:52:00 - 下載中藥處方資料,共<68>筆...,95.104ms
20240701-11:52:00 - 從資料庫讀取處方資料,共<63>筆...,457.900ms
20240701-11:52:10 - 共新增<68>筆處方,9582.220ms 
20240701-11:52:15 - 下載中藥處方資料,共<68>筆...,12.184ms
20240701-11:52:15 - 從資料庫讀取處方資料,共<131>筆...,43.934ms
20240701-11:52:31 - 共新增<0>筆處方,15982.406ms 
20240701-11:52:37 - 下載中藥處方資料,共<68>筆...,72.053ms
20240701-11:52:37 - 從資料庫讀取處方資料,共<131>筆...,78.539ms
20240701-11:52:37 - 共新增<0>筆處方,5.018ms 
20240701-11:52:42 - 下載中藥處方資料,共<68>筆...,4.586ms
20240701-11:52:42 - 從資料庫讀取處方資料,共<131>筆...,43.519ms
20240701-11:52:42 - 共新增<0>筆處方,4.010ms 
20240701-11:52:47 - 下載中藥處方資料,共<68>筆...,12.015ms
20240701-11:52:47 - 從資料庫讀取處方資料,共<131>筆...,40.016ms
20240701-11:52:47 - 共新增<0>筆處方,5.247ms 
20240701-11:52:53 - 下載中藥處方資料,共<68>筆...,9.084ms
20240701-11:52:53 - 從資料庫讀取處方資料,共<131>筆...,64.231ms
20240701-11:52:53 - 共新增<0>筆處方,5.998ms 
20240701-11:52:58 - 下載中藥處方資料,共<68>筆...,11.521ms
20240701-11:52:58 - 從資料庫讀取處方資料,共<131>筆...,53.935ms
20240701-11:52:58 - 共新增<0>筆處方,6.026ms 
20240701-11:53:03 - 下載中藥處方資料,共<68>筆...,9.696ms
20240701-11:53:03 - 從資料庫讀取處方資料,共<131>筆...,52.432ms
20240701-11:53:03 - 共新增<0>筆處方,5.242ms 
20240701-11:53:08 - 下載中藥處方資料,共<68>筆...,10.895ms
20240701-11:53:09 - 從資料庫讀取處方資料,共<131>筆...,48.901ms
20240701-11:53:09 - 共新增<0>筆處方,5.304ms 
20240701-11:53:14 - 下載中藥處方資料,共<68>筆...,8.642ms
20240701-11:53:14 - 從資料庫讀取處方資料,共<131>筆...,50.139ms
20240701-11:53:14 - 共新增<0>筆處方,5.444ms 
20240701-11:53:19 - 下載中藥處方資料,共<68>筆...,11.175ms
20240701-11:53:19 - 從資料庫讀取處方資料,共<131>筆...,33.793ms
20240701-11:53:19 - 共新增<0>筆處方,5.483ms 
20240701-11:53:24 - 下載中藥處方資料,共<68>筆...,9.115ms
20240701-11:53:24 - 從資料庫讀取處方資料,共<131>筆...,37.822ms
20240701-11:53:24 - 共新增<0>筆處方,5.832ms 
20240701-11:53:30 - 下載中藥處方資料,共<68>筆...,13.234ms
20240701-11:53:30 - 從資料庫讀取處方資料,共<131>筆...,44.270ms
20240701-11:53:30 - 共新增<0>筆處方,7.218ms 
20240701-11:53:35 - 下載中藥處方資料,共<68>筆...,10.572ms
20240701-11:53:35 - 從資料庫讀取處方資料,共<131>筆...,35.251ms
20240701-11:53:35 - 共新增<0>筆處方,5.016ms 
20240701-11:53:40 - 下載中藥處方資料,共<68>筆...,10.995ms
20240701-11:53:40 - 從資料庫讀取處方資料,共<131>筆...,38.781ms
20240701-11:53:40 - 共新增<0>筆處方,5.108ms 
20240701-11:53:46 - 下載中藥處方資料,共<68>筆...,9.803ms
20240701-11:53:46 - 從資料庫讀取處方資料,共<131>筆...,58.750ms
20240701-11:53:46 - 共新增<0>筆處方,16.661ms 
20240701-11:53:51 - 下載中藥處方資料,共<68>筆...,10.583ms
20240701-11:53:51 - 從資料庫讀取處方資料,共<131>筆...,34.930ms
20240701-11:53:51 - 共新增<0>筆處方,4.903ms 
20240701-11:53:56 - 下載中藥處方資料,共<68>筆...,12.992ms
20240701-11:53:56 - 從資料庫讀取處方資料,共<0>筆...,35.843ms
20240701-11:53:56 - 共新增<68>筆處方,120.059ms 
20240701-11:54:02 - 下載中藥處方資料,共<68>筆...,68.936ms
20240701-11:54:02 - 從資料庫讀取處方資料,共<68>筆...,45.068ms
20240701-11:54:02 - 共新增<0>筆處方,4.513ms 
20240701-11:54:07 - 下載中藥處方資料,共<68>筆...,5.783ms
20240701-11:54:07 - 從資料庫讀取處方資料,共<68>筆...,38.055ms
20240701-11:54:07 - 共新增<0>筆處方,6.581ms 
20240701-11:54:12 - 下載中藥處方資料,共<68>筆...,6.422ms
20240701-11:54:12 - 從資料庫讀取處方資料,共<68>筆...,37.106ms
20240701-11:54:12 - 共新增<0>筆處方,6.744ms 
20240701-11:54:17 - 下載中藥處方資料,共<68>筆...,6.052ms
20240701-11:54:17 - 從資料庫讀取處方資料,共<68>筆...,35.642ms
20240701-11:54:17 - 共新增<0>筆處方,6.189ms 
